ID,team,pick,score,score_diff,name
0,Herlev Tech,0,155.70,-43.67,Chris Johnson
1,The Hot Rods IV,0,162.50,-36.87,LeSean McCoy
2,Fenris,0,209.80,10.43,Ray Rice
3,The Giant,0,241.56,42.19,Tom Brady
4,Svingets Superheroes,0,238.92,39.55,Drew Brees
5,Showstoppers,0,225.60,26.23,Arian Foster
6,Nordvest Annihilators,0,207.24,7.87,Cam Newton
7,Red Nation,0,105.50,-93.87,Darren McFadden
8,Feta Chargers,0,218.70,19.33,Calvin Johnson
9,Team America,0,228.22,28.85,Aaron Rodgers
10,Mean,0,199.37,0.00,Round 0
0,Herlev Tech,1,115.30,-38.20,Steven Jackson
1,The Hot Rods IV,1,67.80,-85.70,DeMarco Murray
2,Fenris,1,175.08,21.58,Tony Romo
3,The Giant,1,185.80,32.30,Rob Gronkowski
4,Svingets Superheroes,1,141.70,-11.80,Larry Fitzgerald
5,Showstoppers,1,116.30,-37.20,Ryan Mathews
6,Nordvest Annihilators,1,192.80,39.30,Andre Johnson
7,Red Nation,1,203.06,49.56,Matthew Stafford
8,Feta Chargers,1,207.50,54.00,Matt Ryan
9,Team America,1,129.70,-23.80,Matt Forte
10,Mean,1,153.50,0.00,Round 1
0,Herlev Tech,2,190.10,42.74,Trent Richardson
1,The Hot Rods IV,2,162.50,15.14,Jimmy Graham
2,Fenris,2,147.80,0.44,Jordy Nelson
3,The Giant,2,191.30,43.94,Roddy White
4,Svingets Superheroes,2,157.70,10.34,Jamaal Charles
5,Showstoppers,2,64.60,-82.76,Greg Jennings
6,Nordvest Annihilators,2,95.50,-51.86,Fred Jackson
7,Red Nation,2,179.20,31.84,Julio Jones
8,Feta Chargers,2,92.80,-54.56,Antonio Gates
9,Team America,2,192.10,44.74,Wes Welker
10,Mean,2,147.36,0.00,Round 2
0,Herlev Tech,3,76.00,-60.02,Maurice Jones-Drew
1,The Hot Rods IV,3,107.20,-28.82,Hakeem Nicks
2,Fenris,3,121.70,-14.32,Shonn Greene
3,The Giant,3,124.10,-11.92,Michael Turner
4,Svingets Superheroes,3,233.00,96.98,A.J. Green
5,Showstoppers,3,188.90,52.88,Victor Cruz
6,Nordvest Annihilators,3,161.90,25.88,Frank Gore
7,Red Nation,3,162.90,26.88,Marshawn Lynch
8,Feta Chargers,3,135.10,-0.92,Reggie Bush
9,Team America,3,49.40,-86.62,Aaron Hernandez
10,Mean,3,136.02,0.00,Round 3
0,Herlev Tech,4,230.70,57.29,Brandon Marshall
1,The Hot Rods IV,4,217.10,43.69,Adrian Peterson
2,Fenris,4,130.20,-43.21,Steve Smith
3,The Giant,4,139.00,-34.41,Mike Wallace
4,Svingets Superheroes,4,170.50,-2.91,Eric Decker
5,Showstoppers,4,176.70,3.29,Marques Colston
6,Nordvest Annihilators,4,187.60,14.19,Dez Bryant
7,Red Nation,4,225.20,51.79,Doug Martin
8,Feta Chargers,4,134.60,-38.81,Ahmad Bradshaw
9,Team America,4,122.50,-50.91,Darren Sproles
10,Mean,4,173.41,0.00,Round 4
0,Herlev Tech,5,153.60,25.13,Eli Manning
1,The Hot Rods IV,5,135.70,7.23,Dwayne Bowe
2,Fenris,5,186.90,58.43,Vincent Jackson
3,The Giant,5,11.00,-117.47,Beanie Wells
4,Svingets Superheroes,5,83.80,-44.67,Jermichael Finley
